GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestFileFinder,4,32,0,0,1,12,0,5,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileDeleteStrategyTestCase,16,228,1,1,4,62,1,9,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,HexDumpTest,36,829,2,42,7,141,2,25,1,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,IOUtilsTestCase,33,726,12,12,7,195,12,22,0,22
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,AllIOTestSuite,7,19,0,0,3,6,2,1,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,IOCaseTestCase,166,700,11,11,42,148,12,21,1,21
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,IOUtilsCopyTestCase,82,674,5,5,26,157,6,26,1,26
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,LineIteratorTestCase,85,467,4,18,28,130,5,25,1,18
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileSystemUtilsTestCase,311,444,6,6,77,164,7,31,1,31
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new FileSystemUtils() {...},0,12,0,2,0,3,0,3,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestFalseFileFinder,0,7,0,0,0,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsTestCase.new File() {...},0,10,0,0,0,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FilenameUtilsWildcardTestCase,2,736,1,3,0,124,1,10,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DemuxTestCase.WriterThread,3,47,0,2,2,12,0,3,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileCleanerTestCase,10,19,1,1,2,4,2,3,1,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new Process() {...},0,26,0,0,0,8,0,7,0,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FilenameUtilsTestCase,58,5202,3,3,15,716,4,32,1,32
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsTestCase.new File() {...},0,11,0,0,0,4,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsTestCase.ListDirectoryWalker,0,25,0,2,0,10,0,5,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestMultiThreadCancelWalker,5,65,0,6,1,20,0,9,0,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,IOExceptionWithCauseTestCase,0,49,0,0,0,13,0,4,0,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,IOUtilsWriteTestCase,81,1360,1,1,26,326,2,47,1,47
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DirectoryWalkerTestCase.TestCancelWalker,5,57,0,6,1,17,0,8,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileSystemUtilsTestCase.MockFileSystemUtils,0,36,0,2,0,10,0,4,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsCleanDirectoryTestCase,29,222,6,8,9,50,7,12,1,11
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new FileSystemUtils() {...},0,8,0,0,0,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,PackageTestSuite,127,287,0,40,3,22,2,21,2,1
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsTestCase.new File() {...},0,9,0,0,0,3,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsListFilesTestCase,11,351,1,3,3,87,1,8,0,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,DemuxTestCase.ReaderThread,3,54,0,2,2,15,0,4,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io,FileUtilsWaitForTestCase,10,39,1,1,2,10,2,5,1,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase.TesterFalseFileFilter,0,32,0,0,0,10,0,6,0,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,OrFileFilterTestCase,22,831,2,4,2,149,3,16,1,15
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase,102,176,14,14,13,26,9,14,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,RegexFileFilterTestCase,87,211,9,5,16,38,8,6,1,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,ConditionalFileFilterAbstractTestCase,2,481,1,11,0,90,1,12,0,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/test",org.apache.commons.io.filefilter,FileFilterTestCase,205,2859,23,27,58,510,23,37,1,34
