GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,DeferredFileOutputStreamTest,44,353,5,5,20,94,5,8,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,ByteArrayOutputStreamTestCase,11,255,4,12,4,53,4,12,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,PackageTestSuite,49,105,0,14,3,9,2,8,2,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,NullOutputStreamTest,0,36,0,0,0,12,0,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.output,CountingOutputStreamTest,12,194,0,10,4,41,0,9,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.testtools,YellOnFlushAndCloseOutputStream,16,23,3,1,5,10,3,3,1,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.testtools,FileBasedTestCase,68,360,7,25,12,83,7,23,0,14
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.testtools,YellOnCloseInputStream,5,4,0,0,1,2,1,1,1,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,IOCaseTestCase,135,589,3,3,36,128,4,19,1,19
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DirectoryWalkerTestCase,156,805,2,14,20,145,2,29,0,23
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileSystemUtilsTestCase,311,444,6,6,77,164,7,31,1,31
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,FileSystemUtilsTestCase.new FileSystemUtils() {...},0,12,0,2,0,3,0,3,0,2
